File path,Size,Commits
server/src/services/person.service.spec.ts,2,11
server/src/services/person.service.ts,0,14
server/test/fixtures/asset.stub.ts,291,29
mobile/android/fastlane/report.xml,20,60
mobile/ios/Runner.xcodeproj/project.pbxproj,551,73
mobile/ios/Runner/Info.plist,49,98
mobile/ios/fastlane/report.xml,18,67
cli/package-lock.json,6261,127
cli/package.json,49,51
docs/static/archived-versions.json,6,7
e2e/package-lock.json,383,75
e2e/package.json,22,36
machine-learning/pyproject.toml,56,106
mobile/android/fastlane/Fastfile,25,177
mobile/ios/fastlane/Fastfile,28,199
mobile/openapi/README.md,158,289
mobile/pubspec.yaml,39,280
open-api/immich-openapi-specs.json,0,127
open-api/typescript-sdk/package-lock.json,132,53
open-api/typescript-sdk/package.json,27,33
open-api/typescript-sdk/src/fetch-client.ts,0,82
server/package-lock.json,8043,319
server/package.json,100,339
web/package-lock.json,5783,171
web/package.json,45,129
mobile/lib/pages/common/video_viewer.page.dart,0,5
mobile/lib/providers/asset_viewer/video_player_controls_provider.dart,0,2
mobile/lib/widgets/asset_viewer/custom_video_player_controls.dart,4,3
server/Dockerfile,65,106
web/src/lib/components/faces-page/merge-face-selector.svelte,145,30
web/src/lib/components/faces-page/merge-suggestion-modal.svelte,128,18
web/src/lib/components/faces-page/show-hide.svelte,30,14
web/src/lib/components/photos-page/asset-select-control-bar.svelte,39,13
web/src/lib/components/shared-components/navigation-bar/account-info-panel.svelte,79,30
web/src/lib/components/shared-components/navigation-bar/navigation-bar.svelte,73,49
web/src/lib/components/shared-components/side-bar/more-information-albums.svelte,24,2
web/src/lib/components/shared-components/side-bar/more-information-assets.svelte,17,2
web/src/lib/components/shared-components/status-box.svelte,0,29
web/src/lib/i18n/en.json,0,13
web/src/routes/(user)/albums/[albumId=id]/[[photos=photos]]/[[assetId=id]]/+page.svelte,10,16
web/src/routes/(user)/people/+page.svelte,48,53
web/src/routes/(user)/people/[personId]/[[photos=photos]]/[[assetId=id]]/+page.svelte,0,9
web/src/routes/(user)/sharing/sharedlinks/+page.svelte,0,26
web/src/routes/(user)/trash/[[photos=photos]]/[[assetId=id]]/+page.svelte,0,8
web/src/routes/(user)/utilities/[duplicates]/[[photos=photos]]/[[assetId=id]]/+page.svelte,66,5
mobile/openapi/lib/model/duplicate_detection_config.dart,108,2
mobile/openapi/lib/model/facial_recognition_config.dart,57,2
mobile/openapi/lib/model/server_storage_response_dto.dart,36,2
server/src/dtos/model-config.dto.ts,0,5
server/src/dtos/server-info.dto.ts,2,10
server/src/utils/misc.ts,32,12
web/src/lib/i18n/cs.json,781,8
web/src/lib/i18n/es.json,781,11
web/src/lib/i18n/nl.json,781,11
web/src/lib/i18n/pl.json,781,10
renovate.json,20,30
web/src/lib/i18n/ar.json,781,5
web/src/lib/i18n/ca.json,781,7
web/src/lib/i18n/da.json,781,5
web/src/lib/i18n/fi.json,781,7
web/src/lib/i18n/fr.json,781,9
web/src/lib/i18n/he.json,781,7
web/src/lib/i18n/hi.json,781,5
web/src/lib/i18n/hu.json,781,7
web/src/lib/i18n/it.json,781,8
web/src/lib/i18n/ja.json,781,7
web/src/lib/i18n/ko.json,781,6
web/src/lib/i18n/lv.json,781,5
web/src/lib/i18n/mn.json,781,5
web/src/lib/i18n/nb_NO.json,781,6
web/src/lib/i18n/pt.json,781,5
web/src/lib/i18n/ro.json,781,6
web/src/lib/i18n/ru.json,781,10
web/src/lib/i18n/sk.json,781,6
web/src/lib/i18n/sl.json,781,6
web/src/lib/i18n/sr.json,0,5
web/src/lib/i18n/sv.json,781,6
web/src/lib/i18n/th.json,781,5
web/src/lib/i18n/uk.json,781,6
web/src/lib/i18n/vi.json,781,8
web/src/lib/i18n/zh_Hant.json,791,2
web/src/lib/i18n/de.json,781,9
web/src/lib/i18n/zh_SIMPLIFIED.json,781,12
docker/scripts/get-cpus.sh,49,2
e2e/src/api/specs/asset.e2e-spec.ts,481,24
e2e/src/utils.ts,104,38
server/src/interfaces/asset.interface.ts,4,19
server/src/repositories/asset.repository.ts,10,27
server/src/services/asset-media.service.ts,177,4
web/src/lib/components/utilities-page/duplicates/duplicates-compare-control.svelte,133,5
server/src/utils/healthcheck.ts,29,2
web/src/lib/components/admin-page/settings/storage-template/storage-template-settings.svelte,6,29
web/src/lib/components/asset-viewer/asset-viewer-nav-bar.svelte,2,56
web/src/lib/components/asset-viewer/photo-viewer.svelte,25,56
web/src/lib/components/faces-page/person-side-panel.svelte,278,22
web/src/lib/components/forms/admin-registration-form.svelte,78,22
web/src/lib/components/photos-page/actions/archive-action.svelte,51,15
web/src/lib/components/photos-page/actions/favorite-action.svelte,50,14
web/src/lib/components/assets/thumbnail/thumbnail.svelte,140,40
web/src/routes/(user)/explore/+page.svelte,173,30
web/src/routes/(user)/places/+page.svelte,52,6
server/src/cores/storage.core.ts,2,12
server/src/cores/system-config.core.ts,0,17
server/src/services/asset.service.ts,0,27
server/src/services/auth.service.ts,0,16
server/src/services/cli.service.ts,70,4
server/src/services/duplicate.service.ts,133,4
server/src/services/job.service.ts,0,14
server/src/services/library.service.ts,0,17
server/src/services/map.service.ts,59,2
server/src/services/media.service.ts,0,20
server/src/services/metadata.service.ts,0,19
server/src/services/notification.service.ts,98,8
server/src/services/search.service.ts,0,12
server/src/services/server-info.service.ts,0,13
server/src/services/smart-info.service.ts,0,11
server/src/services/storage-template.service.ts,0,10
server/src/services/system-config.service.ts,0,15
server/src/services/user.service.ts,0,14
server/src/services/version.service.ts,105,3
docs/docs/features/hardware-transcoding.md,60,9
web/src/lib/utils/file-uploader.ts,113,66
web/src/lib/components/admin-page/delete-confirm-dialogue.svelte,3,7
web/src/lib/components/admin-page/jobs/job-tile.svelte,52,34
web/src/lib/components/admin-page/jobs/jobs-panel.svelte,138,50
web/src/lib/components/admin-page/server-stats/server-stats-panel.svelte,42,24
web/src/lib/components/admin-page/settings/admin-settings.svelte,75,10
web/src/lib/components/admin-page/settings/ffmpeg/ffmpeg-settings.svelte,126,47
web/src/lib/components/admin-page/settings/job-settings/job-settings.svelte,103,17
web/src/lib/components/forms/create-user-form.svelte,74,37
web/src/lib/components/forms/edit-user-form.svelte,103,39
web/src/lib/components/forms/library-exclusion-pattern-form.svelte,55,12
web/src/lib/components/forms/library-import-path-form.svelte,53,10
web/src/lib/components/forms/library-import-paths-form.svelte,174,14
web/src/lib/components/forms/library-scan-settings-form.svelte,175,12
web/src/lib/components/forms/library-user-picker-form.svelte,54,9
web/src/lib/components/user-settings-page/app-settings.svelte,18,9
web/src/lib/components/user-settings-page/change-password-settings.svelte,78,14
web/src/lib/components/user-settings-page/notifications-settings.svelte,75,3
web/src/lib/components/user-settings-page/oauth-settings.svelte,86,14
web/src/lib/components/user-settings-page/partner-settings.svelte,98,25
web/src/lib/components/user-settings-page/user-api-key-list.svelte,180,22
web/src/lib/utils.ts,33,28
web/src/routes/(user)/user-settings/+page.ts,19,5
web/src/routes/admin/jobs-status/+page.svelte,11,18
web/src/routes/admin/jobs-status/+page.ts,17,4
web/src/routes/admin/library-management/+page.svelte,450,15
web/src/routes/admin/library-management/+page.ts,16,3
web/src/routes/admin/repair/+page.svelte,336,15
web/src/routes/admin/repair/+page.ts,19,4
web/src/routes/admin/server-status/+page.ts,16,4
web/src/routes/admin/system-settings/+page.svelte,2,42
web/src/routes/admin/system-settings/+page.ts,16,4
web/src/routes/admin/user-management/+page.svelte,232,46
web/src/routes/admin/user-management/+page.ts,16,6
server/src/repositories/metadata.repository.ts,6,9
server/src/repositories/media.repository.ts,2,9
server/src/utils/media.ts,0,20
docker/docker-compose.dev.yml,87,87
docker/docker-compose.prod.yml,114,53
docker/docker-compose.yml,41,97
mobile/lib/providers/asset_viewer/video_player_controller_provider.dart,0,3
mobile/lib/providers/asset_viewer/video_player_controller_provider.g.dart,0,2
mobile/lib/providers/map/map_state.provider.g.dart,0,2
web/src/lib/components/asset-viewer/asset-viewer.svelte,234,153
web/src/lib/components/photos-page/asset-date-group.svelte,157,55
web/src/lib/components/shared-components/gallery-viewer/gallery-viewer.svelte,118,32
machine-learning/poetry.lock,2444,59
web/src/lib/utils/asset-utils.ts,21,63
server/src/workers/api.ts,68,7
.github/workflows/cli.yml,90,9
misc/release/pump-version.sh,31,17
web/.prettierrc,7,10
web/src/lib/i18n/lt.json,781,4
web/static/manifest.json,35,4
web/tsconfig.json,20,14
misc/release/archive-version.js,17,3
mobile/lib/widgets/forms/login/login_form.dart,279,2
docs/docusaurus.config.js,0,33
docs/src/components/version-switcher.tsx,59,1
docs/src/theme/NavbarItem/ComponentTypes.js,7,1
web/src/lib/constants.ts,1,52
web/src/lib/i18n.spec.ts,36,3
docs/docs/administration/system-settings.md,173,4
docs/src/pages/roadmap.tsx,839,4
docs/docs/install/environment-variables.md,186,40
mobile/lib/pages/login/login.page.dart,0,3
mobile/lib/utils/version_compatibility.dart,17,1
mobile/lib/widgets/forms/login/email_input.dart,49,1
mobile/lib/widgets/forms/login/loading_icon.dart,21,1
mobile/lib/widgets/forms/login/login_button.dart,27,1
mobile/lib/widgets/forms/login/o_auth_login_button.dart,34,1
mobile/lib/widgets/forms/login/password_input.dart,49,1
mobile/lib/widgets/forms/login/server_endpoint_input.dart,54,1
mobile/test/modules/utils/version_compatibility_test.dart,35,1
e2e/src/api/specs/library.e2e-spec.ts,456,9
server/src/interfaces/job.interface.ts,0,10
server/src/services/asset.service.spec.ts,2,19
server/src/services/library.service.spec.ts,2,16
server/src/services/metadata.service.spec.ts,2,15
server/src/services/trash.service.spec.ts,2,6
server/src/services/trash.service.ts,0,5
.github/workflows/pr-require-label.yml,13,3
docker/prometheus.yml,12,2
server/src/config.ts,35,19
server/src/services/microservices.service.ts,0,9
server/src/utils/instrumentation.ts,2,5
server/src/workers/microservices.ts,32,5
.github/workflows/docker.yml,90,47
web/.prettierignore,13,6
web/src/lib/assets/immich-logo.json,1,2
docs/docs/administration/email-notification.mdx,23,1
docs/docs/administration/img/email-settings.png,0,1
docs/docs/administration/img/immich-email-notefaction.webp,0,1
docs/docs/administration/img/send-user-email-notification.webp,0,1
docs/docs/administration/img/user-notifications-settings.png,0,1
docs/docs/administration/user-management.mdx,0,4
docs/docs/guides/img/email-settings.png,0,1
docs/docs/guides/img/google-app-password.webp,0,1
docs/docs/guides/smtp-gmail.md,20,1
web/src/lib/components/asset-viewer/delete-button.svelte,27,2
web/src/lib/components/photos-page/actions/delete-assets.svelte,45,21
mobile/lib/services/asset.service.dart,8,4
mobile/openapi/lib/model/asset_full_sync_dto.dart,158,3
server/src/dtos/asset-response.dto.ts,24,12
server/src/dtos/sync.dto.ts,38,3
server/src/entities/asset-stack.entity.ts,2,2
server/src/queries/asset.repository.sql,0,19
server/src/services/sync.service.ts,77,4
Makefile,5,39
.github/labeler.yml,23,1
.github/workflows/pr-labeler.yml,12,1
web/src/lib/utils/navigation.ts,3,7
web/src/lib/components/asset-viewer/asset-viewer-nav-bar.spec.ts,41,1
web/src/lib/components/asset-viewer/delete-button.spec.ts,34,1
web/src/test-data/factories/user-factory.ts,18,13
mobile/assets/i18n/ar-JO.json,513,5
mobile/assets/i18n/cs-CZ.json,4,28
mobile/assets/i18n/da-DK.json,106,33
mobile/assets/i18n/de-DE.json,98,42
mobile/assets/i18n/el-GR.json,513,5
mobile/assets/i18n/en-US.json,98,149
mobile/assets/i18n/es-ES.json,106,33
mobile/assets/i18n/es-MX.json,293,20
mobile/assets/i18n/es-PE.json,293,20
mobile/assets/i18n/es-US.json,388,9
mobile/assets/i18n/fi-FI.json,106,31
mobile/assets/i18n/fr-CA.json,384,7
mobile/assets/i18n/fr-FR.json,106,38
mobile/assets/i18n/he-IL.json,513,5
mobile/assets/i18n/hi-IN.json,293,20
mobile/assets/i18n/hu-HU.json,293,20
mobile/assets/i18n/it-IT.json,106,35
mobile/assets/i18n/ja-JP.json,106,28
mobile/assets/i18n/ko-KR.json,153,26
mobile/assets/i18n/lt-LT.json,513,5
mobile/assets/i18n/lv-LV.json,293,21
mobile/assets/i18n/mn.json,293,20
mobile/assets/i18n/nb-NO.json,0,24
mobile/assets/i18n/nl-NL.json,153,32
mobile/assets/i18n/pl-PL.json,106,29
mobile/assets/i18n/pt-PT.json,194,12
mobile/assets/i18n/ro-RO.json,513,5
mobile/assets/i18n/ru-RU.json,194,29
mobile/assets/i18n/sk-SK.json,194,29
mobile/assets/i18n/sl-SI.json,479,6
