Path,Size
.dockerignore,362
.editorconfig,321
.gitattributes,390
.gitignore,378
.gitmodules,190
CODEOWNERS,111
CODE_OF_CONDUCT.md,5221
LICENSE,32388
Makefile,2710
README.md,5512
SECURITY.md,107
install.sh,2890
localizely.yml,3222
renovate.json,2053
.github/dependabot.yml,162
.github/labeler.yml,406
.github/release.yml,740
.vscode/launch.json,496
.vscode/settings.json,1208
cli/.editorconfig,336
cli/.eslintignore,6
cli/.eslintrc.cjs,915
cli/.gitignore,155
cli/.npmignore,198
cli/.nvmrc,6
cli/.prettierignore,190
cli/.prettierrc,193
cli/Dockerfile,462
cli/LICENSE,32388
cli/README.md,517
cli/package-lock.json,159978
cli/package.json,1786
cli/tsconfig.json,550
cli/vite.config.ts,383
cli/vitest.config.ts,115
deployment/.gitignore,843
deployment/state.hcl,494
design/.DS_Store,6148
design/immich-logo-inline-dark.png,58890
design/immich-logo-inline-dark.svg,5610
design/immich-logo-inline-light.png,58826
design/immich-logo-inline-light.svg,5555
design/immich-logo-stacked-dark.png,113000
design/immich-logo-stacked-dark.svg,5665
design/immich-logo-stacked-light.png,112951
design/immich-logo-stacked-light.svg,5665
design/immich-logo.png,100972
design/immich-logo.svg,2053
design/immich-screenshots.png,1875922
design/immich-text-dark.png,36878
design/immich-text-light.png,36839
docker/.gitignore,4
docker/README.md,239
docker/docker-compose.dev.yml,4138
docker/docker-compose.prod.yml,3258
docker/docker-compose.yml,2792
docker/example.env,850
docker/hwaccel.ml.yml,1191
docker/hwaccel.transcoding.yml,1694
docker/prometheus.yml,260
docs/.gitignore,242
docs/.nvmrc,6
docs/.prettierignore,20
docs/.prettierrc,89
docs/README.md,787
docs/babel.config.js,89
docs/docusaurus.config.js,5503
docs/package-lock.json,690704
docs/package.json,1553
docs/sidebars.js,783
docs/tailwind.config.js,849
docs/tsconfig.json,215
e2e/.eslintrc.cjs,1064
e2e/.gitignore,83
e2e/.nvmrc,6
e2e/.prettierignore,173
e2e/.prettierrc,193
e2e/docker-compose.yml,1071
e2e/package-lock.json,200322
e2e/package.json,1503
e2e/playwright.config.ts,1366
e2e/test-assets,0
e2e/tsconfig.json,572
e2e/vitest.config.ts,491
fastlane/README.md,251
fastlane/metadata,35
machine-learning/.dockerignore,18
machine-learning/.gitignore,3170
machine-learning/Dockerfile,3401
machine-learning/README.md,2937
machine-learning/README_es_ES.md,1714
machine-learning/README_fr_FR.md,1696
machine-learning/locustfile.py,2940
machine-learning/log_conf.json,265
machine-learning/poetry.lock,339417
machine-learning/pyproject.toml,2232
machine-learning/responses.json,22702
machine-learning/start.sh,618
mobile/.fvmrc,25
mobile/.gitignore,821
mobile/.isar,0
mobile/.metadata,1668
mobile/README.md,3929
mobile/analysis_options.yaml,3220
mobile/dart_test.yaml,57
mobile/flutter_native_splash.yaml,6943
mobile/makefile,305
mobile/pubspec.lock,55966
mobile/pubspec.yaml,3895
open-api/immich-openapi-specs.json,251839
open-api/openapitools.json,153
readme_i18n/README_ar_JO.md,5823
readme_i18n/README_ca_ES.md,4482
readme_i18n/README_de_DE.md,4949
readme_i18n/README_es_ES.md,4739
readme_i18n/README_fr_FR.md,6243
readme_i18n/README_it_IT.md,4599
readme_i18n/README_ja_JP.md,5082
readme_i18n/README_ko_KR.md,3993
readme_i18n/README_nl_NL.md,5562
readme_i18n/README_pt_BR.md,5613
readme_i18n/README_ru_RU.md,7463
readme_i18n/README_sv_SE.md,5943
readme_i18n/README_tr_TR.md,4455
readme_i18n/README_zh_CN.md,5823
server/.eslintrc.js,1511
server/.gitignore,473
server/.nvmrc,6
server/.prettierignore,190
server/.prettierrc,193
server/Dockerfile,2293
server/README.md,221
server/nest-cli.json,374
server/package-lock.json,1109321
server/package.json,4786
server/start.sh,762
server/tsconfig.build.json,114
server/tsconfig.json,612
server/vitest.config.mjs,259
web/.dockerignore,43
web/.eslintignore,177
web/.eslintrc.cjs,1625
web/.gitignore,78
web/.npmrc,19
web/.nvmrc,6
web/.prettierignore,175
web/.prettierrc,354
web/Dockerfile,333
web/README.md,571
web/package-lock.json,349065
web/package.json,2957
web/postcss.config.cjs,83
web/svelte.config.js,443
web/tailwind.config.cjs,1518
web/tsconfig.json,407
web/vite.config.js,1403
.github/DISCUSSION_TEMPLATE/feature-request.yaml,687
.github/ISSUE_TEMPLATE/bug_report.yaml,2638
.github/ISSUE_TEMPLATE/config.yml,583
.github/PULL_REQUEST_TEMPLATE/config.yml,71
.github/PULL_REQUEST_TEMPLATE/pull_request_template.md,625
.github/workflows/build-mobile.yml,2038
.github/workflows/cache-cleanup.yml,962
.github/workflows/cli.yml,2714
.github/workflows/codeql-analysis.yml,2879
.github/workflows/docker-cleanup.yml,2179
.github/workflows/docker.yml,4325
.github/workflows/docs-build.yml,789
.github/workflows/docs-deploy.yml,7458
.github/workflows/docs-destroy.yml,971
.github/workflows/pr-labeler.yml,207
.github/workflows/pr-require-conventional-commit.yml,414
.github/workflows/prepare-release.yml,2219
.github/workflows/sdk.yml,679
.github/workflows/static_analysis.yml,1023
.github/workflows/test.yml,11274
cli/src/index.ts,2833
cli/src/utils.spec.ts,6436
cli/src/utils.ts,4923
docker/scripts/get-cpus.sh,1267
docs/blog/authors.yml,146
