language,lines,percentage
TypeScript,2122047,44.78887116181912
Dart,1473953,31.109909919797612
Svelte,894367,18.876909104455592
Python,105702,2.230993592293952
Swift,29812,0.6292253786443709
Kotlin,28373,0.598853202343913
JavaScript,22221,0.4690063443867089
Shell,14193,0.2995637930732442
Mustache,12571,0.2653291370903793
C++,9834,0.20756079342508868
Dockerfile,7148,0.15086887852374758
Ruby,5989,0.12640650720183608
HCL,5231,0.11040782086705703
CSS,3091,0.06524002567388135
HTML,1958,0.041326421957120565
Makefile,1361,0.028725873485005667
Objective-C,38,0.0008020449613741478
